320 6022.383301
384 21856.845703
460 54769.890625
552 65059.992188
662 67758.414062
794 74715.195312
952 82897.656250
1142 40379.625000
1370 51236.101562
1644 86799.984375
1972 84907.828125
2366 38026.664062
2839 64574.066406
3406 51680.703125
4087 61692.910156
4904 59420.226562
5884 61245.921875
7060 64308.101562
8472 59766.875000
10166 70231.281250
12199 56462.683594
14638 49738.371094
17565 60174.656250
21078 57396.933594
25293 60009.765625
30351 59004.769531
36421 58239.500000
43705 54495.195312
52446 52723.289062
62935 54618.722656
75522 51485.070312
90626 47965.957031
108751 45943.039062
130501 43918.253906
156601 42178.988281
187921 41459.121094
225505 41578.839844
270606 41857.074219
324727 41819.722656
389672 41585.523438
467606 41338.597656
561127 45485.679688
673352 39008.609375
808022 45203.394531
969626 45784.902344
1163551 43501.113281
1396261 44431.957031
1675513 39968.808594
2010615 35395.230469
2412738 25519.763672
2895285 19338.628906
3474342 22324.226562
4169210 20060.029297
5003052 18814.576172
6003662 18643.164062
7204394 18743.699219
8645272 18228.115234
